hours_social_media,sleep_hours,platform_primary,addiction_score,acad_impact,heavy_user,sleep_ok,platform_group
4.9,5.7,TikTok,7,1.0,0,0,Short-video
5.8,5.3,Instagram,8,1.0,1,0,Image-centric
2.5,7.3,LinkedIn,4,0.0,0,1,Professional/Forum
4.6,5.8,Snapchat,7,1.0,0,0,Image-centric
5.5,5.4,TikTok,8,1.0,0,0,Short-video
2.9,7.0,Facebook,5,0.0,0,1,Other
4.7,5.9,YouTube,7,1.0,0,0,Short-video
5.9,5.2,Instagram,9,1.0,1,0,Image-centric
3.0,7.1,LinkedIn,4,0.0,0,1,Professional/Forum
4.8,5.7,TikTok,7,1.0,0,0,Short-video
3.8,6.6,Facebook,6,0.0,0,0,Other
2.7,7.2,LinkedIn,4,0.0,0,1,Professional/Forum
5.6,5.3,Snapchat,8,1.0,0,0,Image-centric
4.5,5.8,Instagram,7,1.0,0,0,Image-centric
5.3,5.5,TikTok,8,1.0,0,0,Short-video
2.6,7.3,LinkedIn,4,0.0,0,1,Professional/Forum
4.4,6.0,YouTube,7,1.0,0,0,Short-video
5.8,5.2,Instagram,9,1.0,1,0,Image-centric
2.9,7.0,Facebook,5,0.0,0,1,Other
4.7,5.8,TikTok,7,1.0,0,0,Short-video
3.7,6.5,Snapchat,6,0.0,0,0,Image-centric
5.5,5.4,Instagram,8,1.0,0,0,Image-centric
2.4,7.4,LinkedIn,4,0.0,0,1,Professional/Forum
4.9,5.7,TikTok,7,1.0,0,0,Short-video
5.7,5.3,Snapchat,8,1.0,0,0,Image-centric
2.8,7.1,LinkedIn,4,0.0,0,1,Professional/Forum
4.6,5.9,Instagram,7,1.0,0,0,Image-centric
5.4,5.5,TikTok,8,1.0,0,0,Short-video
5.8,5.2,YouTube,9,1.0,1,0,Short-video
2.5,7.3,LinkedIn,4,0.0,0,1,Professional/Forum
4.7,5.8,Facebook,7,1.0,0,0,Other
5.6,5.4,Instagram,8,1.0,0,0,Image-centric
2.9,7.0,LinkedIn,5,0.0,0,1,Professional/Forum
4.8,5.7,TikTok,7,1.0,0,0,Short-video
3.8,6.6,YouTube,6,0.0,0,0,Short-video
5.5,5.5,Snapchat,8,1.0,0,0,Image-centric
2.6,7.2,LinkedIn,4,0.0,0,1,Professional/Forum
4.9,5.8,Instagram,7,1.0,0,0,Image-centric
6.1,6.2,Instagram,8,1.0,1,0,Image-centric
5.8,5.9,TikTok,7,1.0,1,0,Short-video
4.9,7.1,Facebook,5,0.0,0,1,Other
5.5,6.0,Instagram,8,1.0,0,0,Image-centric
5.2,6.3,TikTok,7,1.0,0,0,Short-video
4.8,7.2,Instagram,5,0.0,0,1,Image-centric
6.0,5.8,Facebook,8,1.0,1,0,Other
5.7,6.1,Instagram,7,1.0,0,0,Image-centric
4.7,7.3,TikTok,5,0.0,0,1,Short-video
5.4,6.2,Instagram,8,1.0,0,0,Image-centric
5.9,5.9,Facebook,7,1.0,1,0,Other
4.6,7.4,Instagram,5,0.0,0,1,Image-centric
5.3,6.3,TikTok,8,1.0,0,0,Short-video
5.8,5.8,Instagram,7,1.0,1,0,Image-centric
4.5,7.5,Facebook,5,0.0,0,1,Other
5.2,6.4,Instagram,8,1.0,0,0,Image-centric
5.7,5.7,TikTok,7,1.0,0,0,Short-video
4.4,7.6,Instagram,5,0.0,0,1,Image-centric
5.1,6.5,Facebook,8,1.0,0,0,Other
5.6,5.6,Instagram,7,1.0,0,0,Image-centric
4.3,7.7,TikTok,5,0.0,0,1,Short-video
5.0,6.6,Instagram,8,1.0,0,0,Image-centric
5.5,5.5,Facebook,7,1.0,0,0,Other
4.2,7.8,Instagram,5,0.0,0,1,Image-centric
4.9,6.7,TikTok,8,1.0,0,0,Short-video
5.4,5.4,Instagram,7,1.0,0,0,Image-centric
4.1,7.9,Facebook,5,0.0,0,1,Other
4.8,6.8,Instagram,8,1.0,0,0,Image-centric
5.3,5.3,TikTok,7,1.0,0,0,Short-video
4.0,8.0,Instagram,5,0.0,0,1,Image-centric
4.7,6.9,Facebook,8,1.0,0,0,Other
5.2,5.2,Instagram,7,1.0,0,0,Image-centric
3.9,8.1,TikTok,5,0.0,0,1,Short-video
4.6,7.0,Instagram,8,1.0,0,1,Image-centric
5.1,5.1,Facebook,7,1.0,0,0,Other
3.8,8.2,Instagram,5,0.0,0,1,Image-centric
4.5,7.1,TikTok,8,1.0,0,1,Short-video
5.0,5.0,Instagram,7,1.0,0,0,Image-centric
3.7,8.3,Facebook,5,0.0,0,1,Other
4.4,7.2,Instagram,8,1.0,0,1,Image-centric
4.9,4.9,TikTok,7,1.0,0,0,Short-video
3.6,8.4,Instagram,5,0.0,0,1,Image-centric
4.3,7.3,Facebook,8,1.0,0,1,Other
4.8,4.8,Instagram,7,1.0,0,0,Image-centric
3.5,8.5,TikTok,5,0.0,0,1,Short-video
4.2,7.4,Instagram,8,1.0,0,1,Image-centric
4.7,4.7,Facebook,7,1.0,0,0,Other
3.4,8.6,Instagram,5,0.0,0,1,Image-centric
4.1,7.5,TikTok,8,1.0,0,1,Short-video
4.6,4.6,Instagram,7,1.0,0,0,Image-centric
5.3,6.1,Instagram,7,1.0,0,0,Image-centric
4.8,7.2,Facebook,6,0.0,0,1,Other
5.5,5.9,TikTok,8,1.0,0,0,Short-video
4.7,6.3,Instagram,7,1.0,0,0,Image-centric
5.1,7.0,Facebook,5,0.0,0,1,Other
5.4,6.0,TikTok,8,1.0,0,0,Short-video
4.9,6.4,Instagram,7,1.0,0,0,Image-centric
5.2,7.1,Facebook,6,0.0,0,1,Other
5.6,5.8,TikTok,8,1.0,0,0,Short-video
4.6,6.5,Instagram,7,1.0,0,0,Image-centric
5.0,7.3,Facebook,5,0.0,0,1,Other
5.3,5.7,TikTok,8,1.0,0,0,Short-video
4.8,6.6,Instagram,7,1.0,0,0,Image-centric
5.1,7.4,Facebook,6,0.0,0,1,Other
5.7,5.6,TikTok,8,1.0,0,0,Short-video
4.5,6.7,Instagram,7,1.0,0,0,Image-centric
4.9,7.5,Facebook,5,0.0,0,1,Other
5.2,5.5,TikTok,8,1.0,0,0,Short-video
4.7,6.8,Instagram,7,1.0,0,0,Image-centric
5.0,7.6,Facebook,6,0.0,0,1,Other
5.8,5.4,TikTok,8,1.0,1,0,Short-video
4.4,6.9,Instagram,7,1.0,0,0,Image-centric
4.8,7.7,Facebook,5,0.0,0,1,Other
5.1,5.3,TikTok,8,1.0,0,0,Short-video
4.6,7.0,Instagram,7,1.0,0,1,Image-centric
4.9,7.8,Facebook,6,0.0,0,1,Other
5.9,5.2,TikTok,8,1.0,1,0,Short-video
4.3,7.1,Instagram,7,1.0,0,1,Image-centric
4.7,7.9,Facebook,5,0.0,0,1,Other
5.0,5.1,TikTok,8,1.0,0,0,Short-video
4.5,7.2,Instagram,7,1.0,0,1,Image-centric
4.8,8.0,Facebook,6,0.0,0,1,Other
6.0,5.0,TikTok,8,1.0,1,0,Short-video
4.2,7.3,Instagram,7,1.0,0,1,Image-centric
4.6,8.1,Facebook,5,0.0,0,1,Other
4.9,4.9,TikTok,8,1.0,0,0,Short-video
4.4,7.4,Instagram,7,1.0,0,1,Image-centric
4.7,8.2,Facebook,6,0.0,0,1,Other
6.1,4.8,TikTok,8,1.0,1,0,Short-video
4.1,7.5,Instagram,7,1.0,0,1,Image-centric
4.5,8.3,Facebook,5,0.0,0,1,Other
4.8,4.7,TikTok,8,1.0,0,0,Short-video
4.3,7.6,Instagram,7,1.0,0,1,Image-centric
4.6,8.4,Facebook,6,0.0,0,1,Other
6.2,4.6,TikTok,8,1.0,1,0,Short-video
4.0,7.7,Instagram,7,1.0,0,1,Image-centric
4.4,8.5,Facebook,5,0.0,0,1,Other
4.7,4.5,TikTok,8,1.0,0,0,Short-video
4.2,7.8,Instagram,7,1.0,0,1,Image-centric
4.5,8.6,Facebook,6,0.0,0,1,Other
6.3,4.4,TikTok,8,1.0,1,0,Short-video
3.9,7.9,Instagram,7,1.0,0,1,Image-centric
4.3,8.7,Facebook,5,0.0,0,1,Other
4.6,4.3,TikTok,8,1.0,0,0,Short-video
4.1,8.0,Instagram,7,1.0,0,1,Image-centric
4.4,8.8,Facebook,6,0.0,0,1,Other
6.4,4.2,TikTok,8,1.0,1,0,Short-video
3.8,8.1,Instagram,7,1.0,0,1,Image-centric
4.2,8.9,Facebook,5,0.0,0,1,Other
4.5,4.1,TikTok,8,1.0,0,0,Short-video
6.5,6.0,Instagram,9,1.0,1,0,Image-centric
5.8,6.5,TikTok,7,1.0,1,0,Short-video
4.5,7.5,Instagram,5,0.0,0,1,Image-centric
4.2,7.8,Facebook,4,0.0,0,1,Other
3.8,7.9,LINE,3,0.0,0,1,Other
5.5,6.8,Instagram,7,1.0,0,0,Image-centric
5.2,6.5,KakaoTalk,6,1.0,0,0,Other
4.8,7.2,VKontakte,5,0.0,0,1,Other
7.0,5.8,TikTok,9,1.0,1,0,Short-video
5.5,6.7,Instagram,7,1.0,0,0,Image-centric
4.7,7.4,Facebook,5,0.0,0,1,Other
4.0,7.9,Instagram,4,0.0,0,1,Image-centric
3.5,8.0,LINE,3,0.0,0,1,Other
5.7,6.5,TikTok,8,1.0,0,0,Short-video
5.0,6.8,KakaoTalk,6,1.0,0,0,Other
4.5,7.4,VKontakte,5,0.0,0,1,Other
6.8,5.9,Instagram,9,1.0,1,0,Image-centric
5.6,6.6,Facebook,7,1.0,0,0,Other
4.6,7.3,Instagram,5,0.0,0,1,Image-centric
4.1,7.7,Facebook,4,0.0,0,1,Other
3.7,7.8,LINE,3,0.0,0,1,Other
5.4,6.7,Instagram,7,1.0,0,0,Image-centric
5.1,6.6,KakaoTalk,6,1.0,0,0,Other
4.7,7.3,VKontakte,5,0.0,0,1,Other
6.9,5.7,TikTok,9,1.0,1,0,Short-video
5.7,6.4,Instagram,7,1.0,0,0,Image-centric
4.8,7.2,Facebook,5,0.0,0,1,Other
3.9,7.8,Instagram,4,0.0,0,1,Image-centric
3.6,8.1,LINE,3,0.0,0,1,Other
5.6,6.6,TikTok,8,1.0,0,0,Short-video
4.9,6.9,KakaoTalk,6,1.0,0,0,Other
4.6,7.5,VKontakte,5,0.0,0,1,Other
6.7,5.8,Instagram,9,1.0,1,0,Image-centric
5.4,6.5,Facebook,7,1.0,0,0,Other
4.4,7.4,Instagram,5,0.0,0,1,Image-centric
4.0,7.6,Facebook,4,0.0,0,1,Other
3.4,8.2,LINE,3,0.0,0,1,Other
5.3,6.8,Instagram,7,1.0,0,0,Image-centric
5.0,6.7,KakaoTalk,6,1.0,0,0,Other
4.4,7.6,VKontakte,5,0.0,0,1,Other
6.6,5.6,TikTok,9,1.0,1,0,Short-video
5.3,6.3,Instagram,7,1.0,0,0,Image-centric
4.3,7.5,Facebook,5,0.0,0,1,Other
3.8,7.7,Instagram,4,0.0,0,1,Image-centric
3.3,8.3,LINE,3,0.0,0,1,Other
5.2,6.9,TikTok,8,1.0,0,0,Short-video
4.8,7.0,KakaoTalk,6,1.0,0,1,Other
4.3,7.7,VKontakte,5,0.0,0,1,Other
6.4,5.7,Instagram,9,1.0,1,0,Image-centric
5.2,6.4,Facebook,7,1.0,0,0,Other
4.5,7.3,Instagram,5,0.0,0,1,Image-centric
3.7,7.8,Facebook,4,0.0,0,1,Other
3.2,8.4,LINE,3,0.0,0,1,Other
5.4,6.7,Instagram,7,1.0,0,0,Image-centric
4.7,7.1,KakaoTalk,6,1.0,0,1,Other
4.2,7.8,VKontakte,5,0.0,0,1,Other
6.6,5.5,TikTok,9,1.0,1,0,Short-video
5.1,6.5,Instagram,7,1.0,0,0,Image-centric
4.4,7.4,Facebook,5,0.0,0,1,Other
3.6,7.9,Instagram,4,0.0,0,1,Image-centric
3.1,8.5,LINE,3,0.0,0,1,Other
5.3,6.8,TikTok,8,1.0,0,0,Short-video
4.6,7.2,KakaoTalk,6,1.0,0,1,Other
4.1,7.9,VKontakte,5,0.0,0,1,Other
6.7,5.4,Instagram,9,1.0,1,0,Image-centric
5.0,6.6,Facebook,7,1.0,0,0,Other
4.3,7.5,Instagram,5,0.0,0,1,Image-centric
3.5,8.0,Facebook,4,0.0,0,1,Other
3.0,8.6,LINE,3,0.0,0,1,Other
5.2,6.9,Instagram,7,1.0,0,0,Image-centric
4.5,7.3,KakaoTalk,6,1.0,0,1,Other
4.0,8.0,VKontakte,5,0.0,0,1,Other
6.8,5.3,TikTok,9,1.0,1,0,Short-video
4.9,6.7,Instagram,7,1.0,0,0,Image-centric
4.2,7.6,Facebook,5,0.0,0,1,Other
3.4,8.1,Instagram,4,0.0,0,1,Image-centric
2.9,8.7,LINE,3,0.0,0,1,Other
5.1,7.0,TikTok,8,1.0,0,1,Short-video
4.4,7.4,KakaoTalk,6,1.0,0,1,Other
3.9,8.1,VKontakte,5,0.0,0,1,Other
6.9,5.2,Instagram,9,1.0,1,0,Image-centric
4.8,6.8,Facebook,7,1.0,0,0,Other
4.1,7.7,Instagram,5,0.0,0,1,Image-centric
3.3,8.2,Facebook,4,0.0,0,1,Other
2.8,8.8,LINE,3,0.0,0,1,Other
5.0,7.1,Instagram,7,1.0,0,1,Image-centric
4.3,7.5,KakaoTalk,6,1.0,0,1,Other
3.8,8.2,VKontakte,5,0.0,0,1,Other
7.0,5.1,TikTok,9,1.0,1,0,Short-video
4.7,6.9,Instagram,7,1.0,0,0,Image-centric
4.0,7.8,Facebook,5,0.0,0,1,Other
3.2,8.3,Instagram,4,0.0,0,1,Image-centric
2.7,8.9,LINE,3,0.0,0,1,Other
4.9,7.2,TikTok,8,1.0,0,1,Short-video
4.2,7.6,KakaoTalk,6,1.0,0,1,Other
3.7,8.3,VKontakte,5,0.0,0,1,Other
7.1,5.0,Instagram,9,1.0,1,0,Image-centric
4.6,7.0,Facebook,7,1.0,0,1,Other
3.9,7.9,Instagram,5,0.0,0,1,Image-centric
3.1,8.4,Facebook,4,0.0,0,1,Other
5.2,6.8,Instagram,7,1.0,0,0,Image-centric
4.1,7.8,Facebook,4,0.0,0,1,Other
5.0,7.0,Instagram,6,1.0,0,1,Image-centric
5.8,6.5,WhatsApp,8,1.0,1,0,Other
4.0,7.9,Instagram,4,0.0,0,1,Image-centric
5.5,6.7,Instagram,7,1.0,0,0,Image-centric
6.8,5.5,TikTok,9,1.0,1,0,Short-video
5.6,6.6,WhatsApp,7,1.0,0,0,Other
4.5,7.5,Instagram,5,0.0,0,1,Image-centric
5.3,6.9,Instagram,7,1.0,0,0,Image-centric
5.1,6.7,TikTok,7,1.0,0,0,Short-video
3.9,7.9,Facebook,4,0.0,0,1,Other
4.8,7.1,Instagram,6,1.0,0,1,Image-centric
5.9,6.4,WhatsApp,8,1.0,1,0,Other
3.8,8.0,Instagram,4,0.0,0,1,Image-centric
5.4,6.8,TikTok,7,1.0,0,0,Short-video
6.9,5.4,Instagram,9,1.0,1,0,Image-centric
5.7,6.5,WhatsApp,7,1.0,0,0,Other
4.4,7.6,Instagram,5,0.0,0,1,Image-centric
5.2,7.0,TikTok,7,1.0,0,1,Short-video
5.0,6.9,Instagram,7,1.0,0,0,Image-centric
3.8,8.0,Facebook,4,0.0,0,1,Other
4.7,7.2,TikTok,6,1.0,0,1,Short-video
6.0,6.3,WhatsApp,8,1.0,1,0,Other
3.7,8.1,Instagram,4,0.0,0,1,Image-centric
5.3,6.9,Instagram,7,1.0,0,0,Image-centric
7.0,5.3,TikTok,9,1.0,1,0,Short-video
5.8,6.4,WhatsApp,7,1.0,1,0,Other
4.3,7.7,Instagram,5,0.0,0,1,Image-centric
5.1,7.1,Instagram,7,1.0,0,1,Image-centric
4.9,7.0,TikTok,7,1.0,0,1,Short-video
3.7,8.1,Facebook,4,0.0,0,1,Other
4.6,7.3,Instagram,6,1.0,0,1,Image-centric
6.1,6.2,WhatsApp,8,1.0,1,0,Other
3.6,8.2,Instagram,4,0.0,0,1,Image-centric
5.2,7.0,TikTok,7,1.0,0,1,Short-video
7.1,5.2,Instagram,9,1.0,1,0,Image-centric
5.9,6.3,WhatsApp,7,1.0,1,0,Other
4.2,7.8,Instagram,5,0.0,0,1,Image-centric
5.0,7.2,TikTok,7,1.0,0,1,Short-video
4.8,7.1,Instagram,7,1.0,0,1,Image-centric
3.6,8.2,Facebook,4,0.0,0,1,Other
4.5,7.4,TikTok,6,1.0,0,1,Short-video
6.2,6.1,WhatsApp,8,1.0,1,0,Other
3.5,8.3,Instagram,4,0.0,0,1,Image-centric
5.1,7.1,Instagram,7,1.0,0,1,Image-centric
7.2,5.1,TikTok,9,1.0,1,0,Short-video
6.0,6.2,WhatsApp,7,1.0,1,0,Other
4.1,7.9,Instagram,5,0.0,0,1,Image-centric
4.9,7.3,Instagram,7,1.0,0,1,Image-centric
4.7,7.2,TikTok,7,1.0,0,1,Short-video
3.5,8.3,Facebook,4,0.0,0,1,Other
4.4,7.5,Instagram,6,1.0,0,1,Image-centric
6.3,6.0,WhatsApp,8,1.0,1,0,Other
3.4,8.4,Instagram,4,0.0,0,1,Image-centric
5.0,7.2,TikTok,7,1.0,0,1,Short-video
7.3,5.0,Instagram,9,1.0,1,0,Image-centric
6.1,6.1,WhatsApp,7,1.0,1,0,Other
4.0,8.0,Instagram,5,0.0,0,1,Image-centric
4.8,7.4,TikTok,7,1.0,0,1,Short-video
4.6,7.3,Instagram,7,1.0,0,1,Image-centric
3.4,8.4,Facebook,4,0.0,0,1,Other
4.3,7.6,TikTok,6,1.0,0,1,Short-video
6.4,5.9,WhatsApp,8,1.0,1,0,Other
3.3,8.5,Instagram,4,0.0,0,1,Image-centric
4.9,7.3,Instagram,7,1.0,0,1,Image-centric
7.4,4.9,TikTok,9,1.0,1,0,Short-video
6.2,6.0,WhatsApp,7,1.0,1,0,Other
3.9,8.1,Instagram,5,0.0,0,1,Image-centric
4.7,7.5,Instagram,7,1.0,0,1,Image-centric
4.5,7.4,TikTok,7,1.0,0,1,Short-video
3.3,8.5,Facebook,4,0.0,0,1,Other
4.2,7.7,Instagram,6,1.0,0,1,Image-centric
6.5,5.8,WhatsApp,8,1.0,1,0,Other
3.2,8.6,Instagram,4,0.0,0,1,Image-centric
4.8,7.4,TikTok,7,1.0,0,1,Short-video
7.5,4.8,Instagram,9,1.0,1,0,Image-centric
6.3,5.9,WhatsApp,7,1.0,1,0,Other
3.8,8.2,Instagram,5,0.0,0,1,Image-centric
4.6,7.6,TikTok,7,1.0,0,1,Short-video
4.4,7.5,Instagram,7,1.0,0,1,Image-centric
3.2,8.6,Facebook,4,0.0,0,1,Other
4.1,7.8,TikTok,6,1.0,0,1,Short-video
6.6,5.7,WhatsApp,8,1.0,1,0,Other
3.1,8.7,Instagram,4,0.0,0,1,Image-centric
4.7,7.5,Instagram,7,1.0,0,1,Image-centric
7.6,4.7,TikTok,9,1.0,1,0,Short-video
6.4,5.8,WhatsApp,7,1.0,1,0,Other
3.7,8.3,Instagram,5,0.0,0,1,Image-centric
4.5,7.7,Instagram,7,1.0,0,1,Image-centric
4.3,7.6,TikTok,7,1.0,0,1,Short-video
3.1,8.7,Facebook,4,0.0,0,1,Other
4.0,7.9,Instagram,6,1.0,0,1,Image-centric
6.7,5.6,WhatsApp,8,1.0,1,0,Other
3.0,8.8,Instagram,4,0.0,0,1,Image-centric
4.6,7.6,TikTok,7,1.0,0,1,Short-video
7.7,4.6,Instagram,9,1.0,1,0,Image-centric
6.5,5.7,WhatsApp,7,1.0,1,0,Other
3.6,8.4,Instagram,5,0.0,0,1,Image-centric
4.4,7.8,TikTok,7,1.0,0,1,Short-video
4.2,7.7,Instagram,7,1.0,0,1,Image-centric
3.0,8.8,Facebook,4,0.0,0,1,Other
3.9,8.0,TikTok,6,1.0,0,1,Short-video
6.8,5.5,WhatsApp,8,1.0,1,0,Other
2.9,8.9,Instagram,4,0.0,0,1,Image-centric
4.5,7.7,Instagram,7,1.0,0,1,Image-centric
7.8,4.5,TikTok,9,1.0,1,0,Short-video
6.6,5.6,WhatsApp,7,1.0,1,0,Other
3.5,8.5,Instagram,5,0.0,0,1,Image-centric
4.3,7.9,Instagram,7,1.0,0,1,Image-centric
4.1,7.8,TikTok,7,1.0,0,1,Short-video
2.9,8.9,Facebook,4,0.0,0,1,Other
3.8,8.1,Instagram,6,1.0,0,1,Image-centric
6.9,5.4,WhatsApp,8,1.0,1,0,Other
2.8,9.0,Instagram,4,0.0,0,1,Image-centric
4.4,7.8,TikTok,7,1.0,0,1,Short-video
7.9,4.4,Instagram,9,1.0,1,0,Image-centric
6.7,5.5,WhatsApp,7,1.0,1,0,Other
3.4,8.6,Instagram,5,0.0,0,1,Image-centric
4.2,8.0,TikTok,7,1.0,0,1,Short-video
4.0,7.9,Instagram,7,1.0,0,1,Image-centric
2.8,9.0,Facebook,4,0.0,0,1,Other
3.7,8.2,TikTok,6,1.0,0,1,Short-video
7.0,5.3,WhatsApp,8,1.0,1,0,Other
2.7,9.1,Instagram,4,0.0,0,1,Image-centric
4.3,7.9,Instagram,7,1.0,0,1,Image-centric
8.0,4.3,TikTok,9,1.0,1,0,Short-video
6.8,5.4,WhatsApp,7,1.0,1,0,Other
3.3,8.7,Instagram,5,0.0,0,1,Image-centric
4.1,8.1,Instagram,7,1.0,0,1,Image-centric
3.9,8.0,TikTok,7,1.0,0,1,Short-video
2.7,9.1,Facebook,4,0.0,0,1,Other
3.6,8.3,Instagram,6,1.0,0,1,Image-centric
7.1,5.2,WhatsApp,8,1.0,1,0,Other
2.6,9.2,Instagram,4,0.0,0,1,Image-centric
4.2,8.0,TikTok,7,1.0,0,1,Short-video
8.1,4.2,Instagram,9,1.0,1,0,Image-centric
6.9,5.3,WhatsApp,7,1.0,1,0,Other
3.2,8.8,Instagram,5,0.0,0,1,Image-centric
4.0,8.2,TikTok,7,1.0,0,1,Short-video
3.8,8.1,Instagram,7,1.0,0,1,Image-centric
2.6,9.2,Facebook,4,0.0,0,1,Other
3.5,8.4,TikTok,6,1.0,0,1,Short-video
7.2,5.1,WhatsApp,8,1.0,1,0,Other
2.5,9.3,Instagram,4,0.0,0,1,Image-centric
4.1,8.1,Instagram,7,1.0,0,1,Image-centric
8.2,4.1,TikTok,9,1.0,1,0,Short-video
7.0,5.2,WhatsApp,7,1.0,1,0,Other
3.1,8.9,Instagram,5,0.0,0,1,Image-centric
3.9,8.3,Instagram,7,1.0,0,1,Image-centric
3.7,8.2,TikTok,7,1.0,0,1,Short-video
2.5,9.3,Facebook,4,0.0,0,1,Other
3.4,8.5,Instagram,6,1.0,0,1,Image-centric
7.3,5.0,WhatsApp,8,1.0,1,0,Other
2.4,9.4,Instagram,4,0.0,0,1,Image-centric
4.0,8.2,TikTok,7,1.0,0,1,Short-video
8.3,4.0,Instagram,9,1.0,1,0,Image-centric
7.1,5.1,WhatsApp,7,1.0,1,0,Other
3.0,9.0,Instagram,5,0.0,0,1,Image-centric
3.8,8.4,TikTok,7,1.0,0,1,Short-video
3.6,8.3,Instagram,7,1.0,0,1,Image-centric
2.4,9.4,Facebook,4,0.0,0,1,Other
3.3,8.6,TikTok,6,1.0,0,1,Short-video
7.4,4.9,WhatsApp,8,1.0,1,0,Other
2.3,9.5,Instagram,4,0.0,0,1,Image-centric
3.9,8.3,Instagram,7,1.0,0,1,Image-centric
8.4,3.9,TikTok,9,1.0,1,0,Short-video
7.2,5.0,WhatsApp,7,1.0,1,0,Other
2.9,9.1,Instagram,5,0.0,0,1,Image-centric
3.7,8.5,Instagram,7,1.0,0,1,Image-centric
3.5,8.4,TikTok,7,1.0,0,1,Short-video
2.3,9.5,Facebook,4,0.0,0,1,Other
